ID,timeslice,Material,Material_x,Sample_Type,Reference,West_Subdomain,Domain,Latitude,Longitude,Height_m,Age_ma,T_age_Ma,B_age_Ma,d18O_smow,d13C,dD,d18Oprecip,O_sd,C_sd
MCLEAN21_KY,NA,calcite,carbonate,Paleosol Carbonate,"McLean and Bershaw, 2021",east,West,44.774722,-119.632222,NaN,23.013333333333335,NaN,NaN,18.964377953333333,NaN,NaN,NaN,1.2178094686036933,NaN
MCLEAN21_s,NA,calcite,carbonate,Paleosol Carbonate,"McLean and Bershaw, 2021",east,West,44.51417,-119.6553,NaN,15.6,NaN,NaN,18.048577695,NaN,NaN,NaN,0.5467276870846605,NaN
MCLEAN21_TCs1,pre-OHT,calcite,carbonate,Paleosol Carbonate,"McLean and Bershaw, 2021",west,West,44.656527999999994,-120.2627775,NaN,28.825,NaN,NaN,20.26505486,NaN,NaN,NaN,1.2611185237166331,NaN
MCLEAN21_TCs2,pre-OHT,calcite,carbonate,Paleosol Carbonate,"McLean and Bershaw, 2021",east,West,44.621759,-119.63972233333334,NaN,29.566666666666666,NaN,NaN,18.741012036666667,NaN,NaN,NaN,2.3362179091845396,NaN
MNPCO,post-OHT,smectite,clay,Altered ash,Mix and Chamberlain 2014,NA,East,40.0813,-106.3725,NaN,11.625,NaN,NaN,15.265,NaN,-117.535,NaN,1.1313855811938445,NaN
MNPCO,NA,smectite,clay,Altered ash,Mix and Chamberlain 2014,NA,East,40.0813,-106.3725,NaN,18.335,NaN,NaN,13.5825,NaN,-113.872,NaN,1.0976066133992535,NaN
MOONFAN,post-OHT,calcite,carbonate,Fluvial Cement,Fan et al 2014,NA,East,42.55,-107.49,NaN,4.5,5.5,3.5,15.969999999999999,-6.449999999999999,NaN,-13.55,1.315218613006978,0.4949747468305834
MULLBAD1,pre-OHT,calcite,carbonate,Paleosol Carbonate,Mullin 2010,NA,East,43.831398,-102.19332,2.75,34.029411764705884,NaN,NaN,22.590588235294117,-6.87764705882353,NaN,NaN,2.7174562337511423,0.5755924058281683
MULLBAD2,pre-OHT,calcite,carbonate,Paleosol Carbonate,Mullin 2010,NA,East,43.749,-102.498,6.592857142857143,34.142857142857146,NaN,NaN,22.062142857142856,-6.932142857142857,NaN,NaN,1.693059036507263,0.9334318694714978
NEBCOMP,post-OHT,calcite,carbonate,Paleosol Carbonate,"Mix et al, 2013",NA,East,41.37370769230769,-102.67753076923077,NaN,7.707692307692308,NaN,NaN,19.633076923076924,-6.766923076923077,NaN,NaN,0.8395473444599438,0.44831879682848846
NEBCOMP,NA,calcite,carbonate,Paleosol Carbonate,"Mix et al, 2013",NA,East,42.1965,-103.7873,NaN,17,NaN,NaN,19.62,-7.18,NaN,NaN,NaN,NaN
NORTHPARK,post-OHT,calcite,carbonate,Paleosol Carbonate,"Mix et al, 2013",NA,East,40.62725714285715,-106.41382142857142,NaN,11.835714285714285,NaN,NaN,13.593571428571428,-5.561428571428571,NaN,NaN,0.34401715392957105,1.4172392292647817
NORTHPARK,NA,calcite,carbonate,Paleosol Carbonate,"Mix et al, 2013",NA,East,40.50425,-106.3983875,NaN,18.325,NaN,NaN,13.20375,-4.93625,NaN,NaN,0.3909672072474332,1.739580717135187
NV_HF,post-OHT,calcite,carbonate,Fluvial Cement,Mulch et al 2015,NA,Central,40.61,-115.691666,NaN,14,NaN,NaN,12.3,-2.1,NaN,NaN,1.1313708498984758,0.7071067811865476
NV_HF,post-OHT,calcite,carbonate,Paleosol Carbonate,Mulch et al 2015,NA,Central,40.61,-115.691666,NaN,14,NaN,NaN,13.275,-1.65,NaN,NaN,1.369610650270117,0.7681145747868608
NV_IWF,pre-OHT,calcite,carbonate,Paleosol Carbonate,Mulch et al 2015,NA,Central,40.542116,-115.851866,62.875,37,NaN,NaN,13.4625,-3.725,NaN,NaN,1.321187236649565,0.5970163912561961
NV_IWF_B,pre-OHT,calcite,carbonate,Fluvial Cement,Mulch et al 2015,NA,Central,40.504966,-115.870316,4,38.2,NaN,NaN,14.533333333333333,-0.9666666666666667,NaN,NaN,3.6350149013908237,2.107921567168317
NV_IWF_B,pre-OHT,calcite,carbonate,Paleosol Carbonate,Mulch et al 2015,NA,Central,40.504966,-115.870316,2.4,38.2,NaN,NaN,10.9,-6.1,NaN,NaN,NaN,NaN
NV_IWFM,pre-OHT,calcite,carbonate,Paleosol Carbonate,Mulch et al 2015,NA,Central,40.539416,-115.85375,7.4,37.8,NaN,NaN,17.225,0.25000000000000017,NaN,NaN,2.2425803590209803,3.7036018504513506
OGFMFAN1,post-OHT,calcite,carbonate,Fluvial Cement,Fan et al 2014,NA,East,41.47,-103.07,NaN,6,7,5,17.83,-6.5,NaN,-10.8,NaN,NaN
OGFMFAN1,post-OHT,calcite,carbonate,Paleosol Carbonate,Fan et al 2014,NA,East,41.47,-103.07,NaN,8,9,7,17.62,-6.7,NaN,-10.2,NaN,NaN
OGFMFAN2,post-OHT,calcite,carbonate,Fluvial Cement,Fan et al 2014,NA,East,41.6,-102.78,NaN,9,11,7,18.34,-7,NaN,-10.3,NaN,NaN
OREANA,post-OHT,smectite,clay,Altered ash,Horton et al 2004,NA,Central,43.0545,-116.3946,NaN,3.3,NaN,NaN,14.3,NaN,-112,-13.04,2.1213203435596424,NaN
PALOUS,NA,calcite,carbonate,Paleosol Carbonate,Takeuchi et al 2010,NA,West,46.66372,-118.227385,NaN,15.5,15.3,15.7,18.8,-9.4,NaN,NaN,NaN,NaN
PINON,post-OHT,smectite,clay,Altered ash,Horton et al 2004,NA,Central,40.557,-116.0187,NaN,10.77,NaN,NaN,11.76,NaN,-113,-15.854,0.8677557259966654,NaN
PINON,NA,smectite,clay,Altered ash,Horton et al 2004,NA,Central,40.557,-116.0187,NaN,15.25,NaN,NaN,11.7,NaN,-107,-15.21,NaN,NaN
RASH,post-OHT,smectite,clay,Altered ash,Horton et al 2004,NA,Central,40.3614,-112.4539,NaN,7.696666666666667,NaN,NaN,12.133333333333333,NaN,-115.33333333333333,-15.136666666666667,1.250333288900737,NaN
RATT_E,post-OHT,kaolinite,clay,Altered ash,Takeuchi 2007 dissertation,east,West,43.65938,-118.99865,NaN,7.85,7.05,8.65,11.88,NaN,NaN,NaN,NaN,NaN
RATT_E,post-OHT,smectite,clay,Altered ash,Takeuchi 2007 dissertation,east,West,43.68063,-119.0052,NaN,9.6,9,10.2,12.14,NaN,NaN,NaN,0.5798275605729691,NaN
RCMU,post-OHT,calcite,carbonate,Fluvial Cement,Chamberlain et al 2012,NA,Central,45.8604,-111.1607,NaN,9.8,NaN,NaN,14.36,-8.29,NaN,NaN,NaN,NaN
RCMU,post-OHT,calcite,carbonate,Paleosol Carbonate,Chamberlain et al 2012,NA,Central,45.8604,-111.1607,NaN,8,NaN,NaN,13.645,-7.5600000000000005,NaN,NaN,0.558614357137372,1.6687720036002522
RETJD_p1,pre-OHT,calcite,carbonate,Paleosol Carbonate,Retallack et al 2004,east,West,44,-119.65,NaN,28.205443478260868,NaN,NaN,17.002580000000002,-9.019117647058824,NaN,NaN,2.2897648277823595,2.34802281720849
RETJD_p2,pre-OHT,calcite,carbonate,Paleosol Carbonate,Retallack et al 2004,east,West,44,-119.65,NaN,27.2295933,NaN,NaN,16.33866752,-9.528,NaN,NaN,1.0940328576539828,0.9356957468174391
RETJD_p3,pre-OHT,calcite,carbonate,Paleosol Carbonate,Retallack et al 2004,east,West,44,-119.65,NaN,26.312635416666666,NaN,NaN,16.521484,-9.24375,NaN,NaN,0.7383199736667252,0.7604327575291613
RETJD_p3,NA,calcite,carbonate,Paleosol Carbonate,Retallack et al 2004,east,West,44,-119.65,NaN,25.838209523809525,NaN,NaN,16.786577714285713,-9.142857142857142,NaN,NaN,1.1897659917537204,0.8470958792081501
RETJD_p4,NA,calcite,carbonate,Paleosol Carbonate,Retallack et al 2004,east,West,44,-119.65,NaN,25.152194285714288,NaN,NaN,17.731587714285713,-9.242028985507247,NaN,NaN,1.12922372323652,0.9031653156442507
RETJD_p5,NA,calcite,carbonate,Paleosol Carbonate,Retallack et al 2004,east,West,44,-119.65,NaN,24.174773214285715,NaN,NaN,18.888918142857143,-8.739285714285714,NaN,NaN,1.2605616839220193,0.8577102969700197
RETJD_p6,NA,calcite,carbonate,Paleosol Carbonate,Retallack et al 2004,east,West,44,-119.65,NaN,23.320238461538462,NaN,NaN,19.91294646153846,-8.223076923076924,NaN,NaN,1.0154726371570864,0.9310870404656467
SCHWARTZ.1,pre-OHT,calcite,carbonate,Paleosol Carbonate,Schwartz 2015,NA,Central,44.750045,-112.59484499999999,10.3625,48.225,47.2,49.25,10.041666666666666,-2.3375,NaN,NaN,6.117211601520563,1.660007530103403
SCHWARTZ.2,pre-OHT,calcite,carbonate,Paleosol Carbonate,Schwartz 2015,NA,Central,44.76058,-112.59838,27.02857142857143,43.3,40.4,46.2,13.385714285714286,-0.2857142857142857,NaN,NaN,NaN,NaN
SCHWARTZ.3,pre-OHT,calcite,carbonate,Paleosol Carbonate,Schwartz 2015,NA,Central,44.7693,-112.59785,15.479166666666668,43.3,40.4,46.2,13,-1.0916666666666666,NaN,NaN,0.141421356237309,0.5067598598503591
SCHWARTZ.5,NA,calcite,carbonate,Paleosol Carbonate,Schwartz 2015,NA,Central,44.79536,-113.24515,6.3,18.2,15.97,20.43,14.7,-6.133333333333334,NaN,NaN,0.43588989435406683,0.3055050463303896
SCHWARTZ.6,pre-OHT,calcite,carbonate,Paleosol Carbonate,Schwartz 2015,NA,Central,45.8059,-112.11189,17.2125,28.2,25.6,30.8,14.6375,-7.2625,NaN,NaN,1.5801785613386505,0.4307385683749649
SCHWTZ19_BBm,pre-OHT,calcite,carbonate,Fluvial Cement,"Schwartz et al., 2019",NA,Central,45.8066625,-112.1123,17.2125,28,25,31,14.6325,-7.26875,NaN,NaN,1.5933679514071537,0.4350184725141812
SCHWTZ19_DELL,pre-OHT,calcite,carbonate,Fluvial Cement,"Schwartz et al., 2019",NA,Central,44.7606,-112.5984,24.9,42.95,39.7,46.2,12.88,0.53,NaN,NaN,NaN,NaN
SCHWTZ19_DELL,pre-OHT,calcite,carbonate,Paleosol Carbonate,"Schwartz et al., 2019",NA,Central,44.760642857142855,-112.59835714285714,26.957142857142856,42.95,39.7,46.2,13.808571428571428,-0.6414285714285715,NaN,NaN,1.0667306528427338,0.8703529661661904
SCHWTZ19_HP,pre-OHT,calcite,carbonate,Paleosol Carbonate,"Schwartz et al., 2019",NA,Central,44.7817,-113.2543,90.9,28.5,23,34,17.43,-0.10500000000000004,NaN,NaN,2.3758787847867993,0.6434671708797582
SCHWTZ19_SC,pre-OHT,calcite,carbonate,Fluvial Cement,"Schwartz et al., 2019",NA,Central,44.74176666666666,-112.59173333333334,11.4,48.35,46.2,50.5,16.026666666666667,-3.7866666666666666,NaN,NaN,2.26294792987672,0.5083633870897208
SCHWTZ19_SC,pre-OHT,calcite,carbonate,Paleosol Carbonate,"Schwartz et al., 2019",NA,Central,44.7418,-112.5917,12.2,48.35,46.2,50.5,13.9,-2.8,NaN,NaN,NaN,NaN
SCHWTZ19_UDELL,pre-OHT,calcite,carbonate,Fluvial Cement,"Schwartz et al., 2019",NA,Central,44.7693,-112.5979,6.4,42.95,39.7,46.2,12.08,-0.66,NaN,NaN,NaN,NaN
SCHWTZ19_UDELL,pre-OHT,calcite,carbonate,Paleosol Carbonate,"Schwartz et al., 2019",NA,Central,44.76943333333333,-112.59806666666667,16.516666666666666,42.95,39.7,46.2,13.163333333333334,-1.2116666666666667,NaN,NaN,0.3285523804002437,0.4387900029247096
SCHWTZ19_USC,pre-OHT,calcite,carbonate,Fluvial Cement,"Schwartz et al., 2019",NA,Central,44.7585,-112.59763333333333,7.2,48.35,46.2,50.5,11.986666666666666,-1.18,NaN,NaN,0.3957692930652068,0.7206247289678588
SCHWTZ19_WH,NA,calcite,carbonate,Fluvial Cement,"Schwartz et al., 2019",NA,Central,44.793164705882354,-112.57467647058823,6.852941176470589,24,18.5,29.5,16.076470588235296,-3.3611764705882354,NaN,NaN,0.9927294519182365,0.8743918054349347
SCHWTZ19_WH,NA,calcite,carbonate,Paleosol Carbonate,"Schwartz et al., 2019",NA,Central,44.7932,-112.5751,17.9,24,18.5,29.5,18.01,-2.36,NaN,NaN,NaN,NaN
SCR,pre-OHT,calcite,carbonate,Paleosol Carbonate,"Methner, 2015 (Thesis)",NA,Central,44.7368,-112.5759667,NaN,35.4468085106383,NaN,NaN,15.444042553191489,-3.6207857142857143,NaN,NaN,2.0415725657035644,1.3390178500199867
SHERM_THES,post-OHT,calcite,carbonate,Paleosol Carbonate,Sherman 2005 thesis,NA,East,42.575,-107.498,NaN,7.2,2.8,11.6,16.453666666666667,-4.166666666666667,NaN,NaN,1.7589782071797628,3.827967258654825
SIMT_W,post-OHT,smectite,clay,Altered ash,Takeuchi 2007 dissertation,west,West,44.752520000000004,-121.117372,NaN,13.1,12.5,13.7,15.756,NaN,NaN,NaN,0.7660809356719436,NaN
SJ_A,pre-OHT,smectite,clay,Altered ash,Sjostrom et al 2006,NA,East,41.5968,-103.1131,NaN,31.25,NaN,NaN,18.233333333333334,NaN,-101.5,NaN,1.0250203250017365,NaN
SJ_B,pre-OHT,smectite,clay,Altered ash,Sjostrom et al 2006,NA,East,42.05566666666667,-103.42216666666667,NaN,30.933333333333334,NaN,NaN,18.2,NaN,-99,NaN,1.2489995996796792,NaN
SJ_B,NA,smectite,clay,Altered ash,Sjostrom et al 2006,NA,East,41.6991,-103.3415,NaN,21.9,NaN,NaN,19.7,NaN,-127,NaN,NaN,NaN
SJ_C,pre-OHT,smectite,clay,Altered ash,Sjostrom et al 2006,NA,East,42.4234,-103.7525,NaN,30.3,NaN,NaN,17.2,NaN,-93,NaN,NaN,NaN
SJ_C,NA,smectite,clay,Altered ash,Sjostrom et al 2006,NA,East,42.4234,-103.7525,NaN,21.5,NaN,NaN,17.05,NaN,-98.83333333333333,NaN,1.4989996664442595,NaN
SJ_D,post-OHT,smectite,clay,Altered ash,Sjostrom et al 2006,NA,East,42.55292,-107.5711,NaN,14.2,NaN,NaN,13.18,NaN,-112,NaN,1.458423806717375,NaN
SJ_D,pre-OHT,smectite,clay,Altered ash,Sjostrom et al 2006,NA,East,42.75856666666667,-107.58030000000001,NaN,43.333333333333336,NaN,NaN,13.066666666666666,NaN,-123.33333333333333,NaN,1.9553345834749947,NaN
SJ_E,post-OHT,smectite,clay,Altered ash,Sjostrom et al 2006,NA,East,42.5848,-108.287,NaN,14.2,NaN,NaN,14.5,NaN,-116,NaN,NaN,NaN
SJ_E,pre-OHT,smectite,clay,Altered ash,Sjostrom et al 2006,NA,East,42.5848,-108.287,NaN,44.75,NaN,NaN,13.775,NaN,-106.25,NaN,2.604323328621084,NaN
SJ_F,pre-OHT,smectite,clay,Altered ash,Sjostrom et al 2006,NA,East,42.6386,-106.7545,NaN,35.65,NaN,NaN,14.108333333333334,NaN,-118.58333333333333,NaN,0.5333570070503406,NaN
SJ_G,pre-OHT,smectite,clay,Altered ash,Sjostrom et al 2006,NA,East,42.7125,-105.371,NaN,31.25,NaN,NaN,14.7,NaN,-112,NaN,NaN,NaN
SJ_H,pre-OHT,smectite,clay,Altered ash,Sjostrom et al 2006,NA,East,42.8181,-102.85713333333334,NaN,35.333333333333336,NaN,NaN,17.633333333333333,NaN,-103.66666666666667,NaN,1.0016652800877812,NaN
SJ_J,pre-OHT,smectite,clay,Altered ash,Sjostrom et al 2006,NA,East,43.501,-108.58,NaN,48.74,NaN,NaN,15.26,NaN,NaN,NaN,0.5899152481501052,NaN
SJ_K,pre-OHT,smectite,clay,Altered ash,Sjostrom et al 2006,NA,East,43.8608,-102.8636,NaN,35.875,NaN,NaN,19.55,NaN,-100.33333333333333,NaN,0.8062257748298555,NaN
SJ_L,pre-OHT,smectite,clay,Altered ash,Sjostrom et al 2006,NA,Central,44.8542,-110.1567,NaN,49,NaN,NaN,9.05,NaN,NaN,NaN,0.494974746830584,NaN
SJ_M,pre-OHT,smectite,clay,Altered ash,Sjostrom et al 2006,NA,Central,44.8655,-111.0488,NaN,49,NaN,NaN,9.799999999999999,NaN,NaN,NaN,0.4546060565661953,NaN
SJ_N,pre-OHT,smectite,clay,Altered ash,Sjostrom et al 2006,NA,East,42.9194,-103.4913,NaN,34.5,NaN,NaN,16.9,NaN,-123,NaN,NaN,NaN
SPLITFAN,post-OHT,calcite,carbonate,Paleosol Carbonate,Fan et al 2014,NA,East,42.37,-107.06,NaN,10.5,11.3,9.7,15.46,-6.3,NaN,-13.5,NaN,NaN
SPLITFAN,NA,calcite,carbonate,Fluvial Cement,Fan et al 2014,NA,East,42.69,-107.26,NaN,19,19.466666666666665,18.533333333333335,13.426666666666666,-5.5,NaN,-14.7,1.398082019530089,0.8660254037844386
SPLITFAN2,post-OHT,calcite,carbonate,Fluvial Cement,Fan et al 2014,NA,East,42.37,-107.06,NaN,10.5,11.3,9.7,15.35,-6.5,NaN,-13.9,NaN,NaN
TCM12,post-OHT,calcite,carbonate,Fluvial Cement,Chamberlain et al 2012,NA,Central,42.1888,-112.1402,NaN,7.8,NaN,NaN,13.056153846153846,-3.7838461538461536,NaN,NaN,1.2459169211303676,0.9096477199218248
TCM12,post-OHT,calcite,carbonate,Paleosol Carbonate,Chamberlain et al 2012,NA,Central,42.1888,-112.1402,NaN,10,NaN,NaN,13.91,-3.0300000000000002,NaN,NaN,0.9050966799187816,0.9899494936611665
TL2,post-OHT,smectite,clay,Altered ash,Takeuchi and Larson 2005,NA,West,46.62501667,-119.39525,NaN,4.699999999999999,NaN,NaN,10.5,NaN,NaN,NaN,0.141421356237309,NaN
TL3,post-OHT,smectite,clay,Altered ash,Takeuchi and Larson 2005,NA,West,46.73733333,-120.6807333,NaN,9.7,NaN,NaN,11.35,NaN,NaN,NaN,0.49497474683058273,NaN
TL4,post-OHT,smectite,clay,Altered ash,Takeuchi and Larson 2005,NA,West,46.80385,-119.3942167,NaN,11,NaN,NaN,12.100000000000001,NaN,NaN,NaN,0.4242640687119283,NaN
TL5,post-OHT,smectite,clay,Altered ash,Takeuchi and Larson 2005,NA,West,46.80581667,-120.6521167,NaN,13.5,NaN,NaN,12.45,NaN,NaN,NaN,0.0707106781186545,NaN
TL6,post-OHT,smectite,clay,Altered ash,Takeuchi and Larson 2005,NA,West,46.9529,-119.6632,NaN,15,NaN,NaN,12.6,NaN,NaN,NaN,NaN,NaN
TL7,NA,smectite,clay,Altered ash,Takeuchi and Larson 2005,NA,West,46.9789,-120.2589667,NaN,15.6,NaN,NaN,13.4,NaN,NaN,NaN,NaN,NaN
TL8,post-OHT,smectite,clay,Altered ash,Takeuchi and Larson 2005,NA,West,46.9822,-119.22985,NaN,15,NaN,NaN,13.1,NaN,NaN,NaN,NaN,NaN
TL9,NA,smectite,clay,Altered ash,Takeuchi and Larson 2005,NA,West,46.98335,-120.2649167,NaN,15.6,NaN,NaN,13,NaN,NaN,NaN,NaN,NaN
TRAPPER,post-OHT,smectite,clay,Altered ash,Horton et al 2004,NA,Central,42.125,-114,NaN,12.154375,NaN,NaN,11.65,NaN,-122.6,-15.7925,1.7324356649911514,NaN
TTP,pre-OHT,calcite,carbonate,Paleosol Carbonate,this study,NA,East,42.85398,-103.58286,8.071739130434782,33,32,34,19.180869565217392,-6.492608695652174,NaN,NaN,1.759384998549928,0.2673645347954795
TTP,pre-OHT,smectite,clay,Altered ash,this study,NA,East,42.85398,-103.58286,2.15,33,32,34,17.28,NaN,NaN,NaN,NaN,NaN
URCK,post-OHT,calcite,carbonate,Paleosol Carbonate,Chamberlain et al 2012,NA,Central,45.011,-112.122,NaN,4.338461538461538,NaN,NaN,13.478461538461538,-2.918076923076923,NaN,NaN,0.7163557345771291,1.7891853324477467
VIRGIN,NA,smectite,clay,Altered ash,Horton et al 2004,NA,West,41.844,-119.0105,NaN,16,NaN,NaN,11.4,NaN,-107,-16.96,NaN,NaN
WCK,pre-OHT,smectite,clay,Altered ash,this study,NA,Central,45.11897,-113.69539,56.5,30,28,34,9.585,NaN,NaN,NaN,1.8060361753482863,NaN
WCK,pre-OHT,smectite,clay,Paleosol,this study,NA,Central,45.11897,-113.69539,23.666666666666668,30,28,34,9.742222222222223,NaN,NaN,NaN,1.3424024897341498,NaN
WILLOW,NA,smectite,clay,Altered ash,Horton et al 2004,NA,West,41.709,-118.6088,NaN,15.425,NaN,NaN,10.85,NaN,-117.25,-17.51,0.9255628917943212,NaN
WIND,post-OHT,calcite,carbonate,Fluvial Cement,Chamberlain et al 2012,NA,East,42.7172,-108.1877,NaN,7.26,NaN,NaN,17.745,-3.4770000000000003,NaN,NaN,2.2909495847792023,2.985262969991086
WIND,pre-OHT,calcite,carbonate,Fluvial Cement,Chamberlain et al 2012,NA,East,42.7172,-108.1877,NaN,28.32,NaN,NaN,15.528,-2.532,NaN,NaN,0.2975231083462259,1.099508981318479
WIND,NA,calcite,carbonate,Fluvial Cement,Chamberlain et al 2012,NA,East,42.7172,-108.1877,NaN,22.377777777777776,NaN,NaN,15.741111111111111,-3.1911111111111112,NaN,NaN,0.7245247484462565,1.2409416227651933
WINDBSD,pre-OHT,calcite,carbonate,Fluvial Cement,Chamberlain et al 2012,NA,East,42.6996,-108.1794,NaN,36.605,NaN,NaN,17.4685,-3.2615,NaN,NaN,2.386750522269882,0.5301155534409454
WINDIM,pre-OHT,calcite,carbonate,Fluvial Cement,Chamberlain et al 2012,NA,East,43.4857,-109.4547,NaN,43.6,NaN,NaN,13.35,-8.12,NaN,NaN,NaN,NaN
WINDTP,pre-OHT,calcite,carbonate,Fluvial Cement,Chamberlain et al 2012,NA,East,43.344075000000004,-107.48162500000001,NaN,35.4625,NaN,NaN,19.8175,-4.30625,NaN,NaN,1.449785698449454,0.7748905452661409
WINDWAG,pre-OHT,calcite,carbonate,Fluvial Cement,Chamberlain et al 2012,NA,East,42.725,-108.1877,NaN,44.95625,NaN,NaN,17.129375,-4.046875,NaN,NaN,2.593166580971355,1.962955997978559
WINDWRF,pre-OHT,calcite,carbonate,Fluvial Cement,Chamberlain et al 2012,NA,East,42.7172,-108.1877,NaN,34.35,NaN,NaN,16.763636363636362,-3.5377272727272726,NaN,NaN,1.150215488939212,1.12700585969737
WRFAN,pre-OHT,calcite,carbonate,Fluvial Cement,Fan et al 2014,NA,East,42.61,-108.27,NaN,28.2,29.2,27.2,15.35,-3.6,NaN,-12.9,NaN,NaN
WRFAN2,pre-OHT,calcite,carbonate,Fluvial Cement,Fan et al 2014,NA,East,42.65,-106.74,NaN,34.25,35.25,18.25,17.67,-5.949999999999999,NaN,-10.75,0.07071067811865324,0.21213203435596414
WRFAN3,pre-OHT,calcite,carbonate,Fluvial Cement,Fan et al 2014,NA,East,42.63,-105.3,NaN,33.1,33.7,32.5,18.838,-6.680000000000001,NaN,-8.6,1.5620723414746205,0.42071367935925263
YAKBAS,post-OHT,calcite,carbonate,Paleosol Carbonate,Takeuchi et al 2010,NA,West,46.62780833,-120.5279667,NaN,11.025,10.466666666666667,11.616666666666667,16.445833333333333,-9.179166666666667,NaN,NaN,1.0285599671679848,1.165694941641979
