ID,timeslice,Material,Material_x,Sample_Type,Reference,West_Subdomain,Domain,Latitude,Longitude,Height_m,Age_ma,T_age_Ma,B_age_Ma,d18O_smow,d13C,dD,d18Oprecip,O_sd,C_sd,d18_scaled
AGELAK,post-OHT,calcite,carbonate,Paleosol Carbonate,Takeuchi et al 2010,NA,West,42.54903056,-121.9197,NaN,7.3,5.8,8.8,21.325,-6.15,NaN,NaN,0.4031128874149265,0.12909944487358055,4.138015169126984
ARLBAS,post-OHT,calcite,carbonate,Paleosol Carbonate,Takeuchi et al 2010,NA,West,45.839855,-119.700583,NaN,11.3,10.5,12.1,20.1,-10.6,NaN,NaN,0.2645751311064588,0.17320508075688712,2.913015169126986
DESCH,post-OHT,calcite,carbonate,Paleosol Carbonate,Takeuchi et al 2010,NA,West,44.42450278,-121.2755917,NaN,5.4,5,5.8,20.425,-7,NaN,NaN,0.2986078811194816,0.24494897427831766,3.238015169126985
HANF,post-OHT,calcite,carbonate,Paleosol Carbonate,Takeuchi et al 2010,NA,West,46.55068333,-119.488975,NaN,5.5,4.666666666666667,6.333333333333333,17.116666666666667,-9.133333333333333,NaN,NaN,0.8220908303425685,1.10151410945722,-0.0703181642063484
JDPK,NA,calcite,carbonate,Paleosol Carbonate,Takeuchi et al 2010,NA,West,44.419931,-118.95755,NaN,20,18.5,21.5,19.233333333333334,-9.533333333333333,NaN,NaN,0.20816659994661282,0.15275252316519414,2.0463485024603187
LEWIS,post-OHT,calcite,carbonate,Paleosol Carbonate,Takeuchi et al 2010,NA,West,46.43294722,-117.0412611,NaN,13,12,14,20.63095238095238,-7.7821428571428575,NaN,NaN,1.2172088209495173,0.34676923320689945,3.443967550079364
LEWISMOD,post-OHT,calcite,carbonate,Paleosol Carbonate,Takeuchi et al 2010,NA,West,46.55068333,-119.488975,NaN,14,NaN,NaN,16.8,-7.2,NaN,NaN,NaN,NaN,-0.38698483087301483
LEWISMOD,NA,calcite,carbonate,Paleosol Carbonate,Takeuchi et al 2010,NA,West,46.55068333,-119.488975,NaN,15.5,NaN,NaN,18.925,-7.2,NaN,NaN,NaN,NaN,1.7380151691269852
MCLEAN21_HAY,NA,calcite,carbonate,Paleosol Carbonate,"McLean and Bershaw, 2021",east,West,44.835228,-119.743903,NaN,20.7425,NaN,NaN,20.79211250625,NaN,NaN,NaN,2.8606962656660246,NaN,3.605127675376984
MCLEAN21_KY,NA,calcite,carbonate,Paleosol Carbonate,"McLean and Bershaw, 2021",east,West,44.774722,-119.632222,NaN,23.013333333333335,NaN,NaN,18.964377953333333,NaN,NaN,NaN,1.2178094686036933,NaN,1.7773931224603174
MCLEAN21_s,NA,calcite,carbonate,Paleosol Carbonate,"McLean and Bershaw, 2021",east,West,44.51417,-119.6553,NaN,15.6,NaN,NaN,18.048577695,NaN,NaN,NaN,0.5467276870846605,NaN,0.8615928641269832
MCLEAN21_TCs2,pre-OHT,calcite,carbonate,Paleosol Carbonate,"McLean and Bershaw, 2021",east,West,44.621759,-119.63972233333334,NaN,29.566666666666666,NaN,NaN,18.741012036666667,NaN,NaN,NaN,2.3362179091845396,NaN,1.554027205793652
PALOUS,NA,calcite,carbonate,Paleosol Carbonate,Takeuchi et al 2010,NA,West,46.66372,-118.227385,NaN,15.5,15.3,15.7,18.8,-9.4,NaN,NaN,NaN,NaN,1.6130151691269852
RETJD_p1,pre-OHT,calcite,carbonate,Paleosol Carbonate,Retallack et al 2004,east,West,44,-119.65,NaN,28.205443478260868,NaN,NaN,17.002580000000002,-9.019117647058824,NaN,NaN,2.2897648277823595,2.34802281720849,-0.18440483087301374
RETJD_p2,pre-OHT,calcite,carbonate,Paleosol Carbonate,Retallack et al 2004,east,West,44,-119.65,NaN,27.2295933,NaN,NaN,16.33866752,-9.528,NaN,NaN,1.0940328576539828,0.9356957468174391,-0.8483173108730142
RETJD_p3,pre-OHT,calcite,carbonate,Paleosol Carbonate,Retallack et al 2004,east,West,44,-119.65,NaN,26.312635416666666,NaN,NaN,16.521484,-9.24375,NaN,NaN,0.7383199736667252,0.7604327575291613,-0.6655008308730146
RETJD_p3,NA,calcite,carbonate,Paleosol Carbonate,Retallack et al 2004,east,West,44,-119.65,NaN,25.838209523809525,NaN,NaN,16.786577714285713,-9.142857142857142,NaN,NaN,1.1897659917537204,0.8470958792081501,-0.4004071165873029
RETJD_p4,NA,calcite,carbonate,Paleosol Carbonate,Retallack et al 2004,east,West,44,-119.65,NaN,25.152194285714288,NaN,NaN,17.731587714285713,-9.242028985507247,NaN,NaN,1.12922372323652,0.9031653156442507,0.544602883412697
RETJD_p5,NA,calcite,carbonate,Paleosol Carbonate,Retallack et al 2004,east,West,44,-119.65,NaN,24.174773214285715,NaN,NaN,18.888918142857143,-8.739285714285714,NaN,NaN,1.2605616839220193,0.8577102969700197,1.7019333119841278
RETJD_p6,NA,calcite,carbonate,Paleosol Carbonate,Retallack et al 2004,east,West,44,-119.65,NaN,23.320238461538462,NaN,NaN,19.91294646153846,-8.223076923076924,NaN,NaN,1.0154726371570864,0.9310870404656467,2.725961630665445
YAKBAS,post-OHT,calcite,carbonate,Paleosol Carbonate,Takeuchi et al 2010,NA,West,46.62780833,-120.5279667,NaN,11.025,10.466666666666667,11.616666666666667,16.445833333333333,-9.179166666666667,NaN,NaN,1.0285599671679848,1.165694941641979,-0.7411514975396827
CQ,post-OHT,calcite,carbonate,Fluvial Cement,Chamberlain et al 2012,NA,Central,42.1439,-112.0135,NaN,8.1,NaN,NaN,20.732222222222223,1.9266666666666667,NaN,NaN,4.6765125301280275,2.577047729476503,6.809553957101782
DELLKM,pre-OHT,calcite,carbonate,Paleosol Carbonate,"Methner et al, MECO 2016",NA,Central,44.75221667,-112.5799667,23.24,40,NaN,NaN,15.40046,-3.3243133333333335,NaN,NaN,2.330760025602045,0.8962432270522535,1.4777917348795597
ELK_HF,post-OHT,calcite,carbonate,Paleosol Carbonate,Chamberlain et al 2012,NA,Central,40.61082727272727,-115.69354545454546,NaN,15,NaN,NaN,12.646363636363636,-2.039090909090909,NaN,NaN,1.0051892630472408,0.6249552711267351,-1.2763046287568045
ELK_IW,pre-OHT,calcite,carbonate,Fluvial Cement,Chamberlain et al 2012,NA,Central,40.5064,-115.8704,NaN,38.9,NaN,NaN,13.36,0.28,NaN,NaN,NaN,NaN,-0.5626682651204415
ELK_IW,pre-OHT,calcite,carbonate,Paleosol Carbonate,Chamberlain et al 2012,NA,Central,40.51359565217391,-115.86663913043479,NaN,37.21739130434783,NaN,NaN,11.627391304347826,-4.663043478260869,NaN,NaN,2.27481910847535,1.9865306321748903,-2.2952769607726147
ELK_IW,NA,calcite,carbonate,Paleosol Carbonate,Chamberlain et al 2012,NA,Central,40.5395,-115.8531,NaN,23.85,NaN,NaN,13.395,-3.2,NaN,NaN,0.1767766952966369,0.3818376618407357,-0.5276682651204414
HAG,post-OHT,calcite,carbonate,Paleosol Carbonate,Chamberlain et al 2012,NA,Central,42.8392,-116.1309,NaN,3,NaN,NaN,14.99,-5.2275,NaN,NaN,0.1999999999999993,0.62313053742106606,1.0673317348795592
HAG_GF,post-OHT,calcite,carbonate,Paleosol Carbonate,Chamberlain et al 2012,NA,Central,42.8248,-114.9424,NaN,3.357142857142857,NaN,NaN,14.846428571428572,-7.388571428571429,NaN,NaN,0.7420305523759384,1.0684342040348804,0.9237603063081306
HCSM,post-OHT,calcite,carbonate,Fluvial Cement,Chamberlain et al 2012,NA,Central,42.0865,-112.1699,NaN,10.521428571428572,NaN,NaN,14.280714285714286,-0.45571428571428574,NaN,NaN,2.0815359132721585,1.512749479924217,0.3580460205938447
HCSM,pre-OHT,calcite,carbonate,Fluvial Cement,Chamberlain et al 2012,NA,Central,42.0865,-112.1699,NaN,45.5,NaN,NaN,17.951249999999998,-4.83375,NaN,NaN,1.3290107760500445,1.038115566096294,4.028581734879557
IBAPAH,post-OHT,calcite,carbonate,Paleosol Carbonate,"Mix et al, 2013",NA,Central,40.11286666666667,-114.08833333333334,NaN,11.266666666666666,NaN,NaN,14.765555555555556,-4.046666666666667,NaN,NaN,1.6052111318383566,1.524836056761513,0.8428872904351152
JACKCF,NA,calcite,carbonate,Fluvial Cement,Chamberlain et al 2012,NA,Central,44.9286,-110.5542,NaN,21.055555555555557,NaN,NaN,11.59,-9.212222222222222,NaN,NaN,2.722852364708744,3.043533217240194,-2.332668265120441
JACKCOLT,post-OHT,calcite,carbonate,Fluvial Cement,Chamberlain et al 2012,NA,Central,43.931,-110.5608,NaN,13.4,NaN,NaN,11.209375,-6.378125,NaN,NaN,1.1751054917183676,3.5974680332144717,-2.7132932651204413
JACKIRON,post-OHT,calcite,carbonate,Fluvial Cement,Chamberlain et al 2012,NA,Central,43.4158,-110.8076,NaN,8.436363636363636,NaN,NaN,17.869090909090907,-0.11613636363636361,NaN,NaN,1.9854972007532858,1.9872366143647469,3.9464226439704664
JACKIRON,post-OHT,calcite,carbonate,Paleosol Carbonate,Chamberlain et al 2012,NA,Central,43.4158,-110.8076,NaN,9.7,NaN,NaN,12.68,1.71,NaN,NaN,0.12727922061357835,0.9475230867899735,-1.2426682651204413
JACKTEE,post-OHT,calcite,carbonate,Fluvial Cement,Chamberlain et al 2012,NA,Central,43.602,-110.6894,NaN,11.7,NaN,NaN,12.955555555555556,0.6288888888888888,NaN,NaN,0.8486328875183765,1.2246779622052122,-0.9671127095648853
KC_IML,post-OHT,calcite,carbonate,Paleosol Carbonate,Kent-Corson 2006,NA,Central,44.36866667,-112.5911667,NaN,12.399999999999999,NaN,NaN,12.85,-5.325,NaN,NaN,1.7785762095938806,1.335102992281869,-1.0726682651204413
KC_IML,pre-OHT,calcite,carbonate,Paleosol Carbonate,Kent-Corson 2006,NA,Central,44.34286419962963,-112.60690744074074,NaN,39.61851851851852,NaN,NaN,13.481481481481481,-3.0037037037037035,NaN,NaN,1.2618780378214776,1.8404601183653633,-0.44118678363896
KC_IML,NA,calcite,carbonate,Paleosol Carbonate,Kent-Corson 2006,NA,Central,44.36866667,-112.5911667,NaN,16,NaN,NaN,14.3,-3.6,NaN,NaN,NaN,NaN,0.37733173487955973
KC_RCU,post-OHT,calcite,carbonate,Paleosol Carbonate,Kent-Corson 2006,NA,Central,45.011,-112.122,NaN,8.766666666666667,NaN,NaN,14.3,-0.7416666666666667,NaN,NaN,2.0189105973271824,1.5979227587268237,0.37733173487955973
KC_SC,pre-OHT,calcite,carbonate,Paleosol Carbonate,Kent-Corson 2006,NA,Central,44.73766667,-112.6533333,NaN,44.33888888888889,NaN,NaN,13.133333333333333,-1.8944444444444444,NaN,NaN,0.8656857193611791,1.5470929939813391,-0.7893349317871081
KC_SCMIO,post-OHT,calcite,carbonate,Paleosol Carbonate,Kent-Corson 2006,NA,Central,44.73766667,-112.6533333,NaN,12.695833333333333,NaN,NaN,15.166666666666666,-2.6333333333333333,NaN,NaN,1.3860233064637137,1.1627423175277045,1.243998401546225
KC_SCMIO,NA,calcite,carbonate,Paleosol Carbonate,Kent-Corson 2006,NA,Central,44.73766667,-112.6533333,NaN,18.91111111111111,NaN,NaN,15.777777777777777,-3.911111111111111,NaN,NaN,1.3245544324203686,0.6411794687223781,1.8551095126573358
KC_SCOLIGO,pre-OHT,calcite,carbonate,Paleosol Carbonate,Kent-Corson 2006,NA,Central,44.73766667,-112.6533333,NaN,33.78936170212766,NaN,NaN,14.02659574468085,-2.467021276595745,NaN,NaN,1.4629426518459958,1.9968528661628235,0.10392747956040971
KC_WHO,post-OHT,calcite,carbonate,Paleosol Carbonate,Kent-Corson 2006,NA,Central,44.796,-113.2441667,NaN,14.5,NaN,NaN,15.766666666666667,-5.3,NaN,NaN,0.6350852961085881,0.8888194417315589,1.8439984015462265
KC_WHO,NA,calcite,carbonate,Paleosol Carbonate,Kent-Corson 2006,NA,Central,44.796,-113.2441667,NaN,16.75,NaN,NaN,14.95,-5.783333333333333,NaN,NaN,0.6090976933136422,0.29268868558020256,1.0273317348795583
KC10_LSC,pre-OHT,calcite,carbonate,Paleosol Carbonate,"Kent-Corson et al., 2010",NA,Central,44.74,-112.58,25.622222222222224,48,NaN,NaN,16.263945258445258,-3.434026862026862,NaN,NaN,1.0786848370960047,0.8221319054241896,2.3412769933248168
KC10_USC,pre-OHT,calcite,carbonate,Paleosol Carbonate,"Kent-Corson et al., 2010",NA,Central,44.74,-112.58,31.8,46,NaN,NaN,12.049503339797457,-0.6705408317173023,NaN,NaN,0.060632279392329666,0.27186439722185124,-1.8731649253229836
KMEOC,pre-OHT,calcite,carbonate,Paleosol Carbonate,"Methner et al, MECO 2016",NA,Central,44.7522,-112.58,12.897619047619047,40.5,40,41,15.914092336407554,-3.17060046113307,NaN,-8717.545078502415,2.22109877010062,0.7454041893608478,1.9914240712871134
MBBJ,post-OHT,calcite,carbonate,Fluvial Cement,Chamberlain et al 2012,NA,Central,45.7964,-111.472,NaN,13.9,NaN,NaN,14.475,-3.61,NaN,NaN,0.26162950903902327,0.3252691193458118,0.5523317348795587
MBBJ,post-OHT,calcite,carbonate,Paleosol Carbonate,Chamberlain et al 2012,NA,Central,45.7964,-111.472,NaN,13.370000000000001,NaN,NaN,13.591,-4.046666666666667,NaN,NaN,0.411351431260425,0.2176579885967891,-0.3316682651204417
MBBJ,NA,calcite,carbonate,Paleosol Carbonate,Chamberlain et al 2012,NA,Central,45.7964,-111.472,NaN,15.65,NaN,NaN,13.665,-4.115,NaN,NaN,0.5969087032369357,0.32398559638765817,-0.25766826512044183
MCBAS,pre-OHT,calcite,carbonate,Paleosol Carbonate,"Methner, 2015 (Thesis)",NA,Central,44.66853333,-112.8359,NaN,36,NaN,NaN,16.94382716049383,-4.627469135802469,NaN,NaN,0.7943609979973678,0.9706227733840875,3.0211588953733877
NV_HF,post-OHT,calcite,carbonate,Fluvial Cement,Mulch et al 2015,NA,Central,40.61,-115.691666,NaN,14,NaN,NaN,12.3,-2.1,NaN,NaN,1.1313708498984758,0.7071067811865476,-1.6226682651204403
NV_HF,post-OHT,calcite,carbonate,Paleosol Carbonate,Mulch et al 2015,NA,Central,40.61,-115.691666,NaN,14,NaN,NaN,13.275,-1.65,NaN,NaN,1.369610650270117,0.7681145747868608,-0.6476682651204406
NV_IWF,pre-OHT,calcite,carbonate,Paleosol Carbonate,Mulch et al 2015,NA,Central,40.542116,-115.851866,62.875,37,NaN,NaN,13.4625,-3.725,NaN,NaN,1.321187236649565,0.5970163912561961,-0.4601682651204406
NV_IWF_B,pre-OHT,calcite,carbonate,Fluvial Cement,Mulch et al 2015,NA,Central,40.504966,-115.870316,4,38.2,NaN,NaN,14.533333333333333,-0.9666666666666667,NaN,NaN,3.6350149013908237,2.107921567168317,0.6106650682128922
NV_IWF_B,pre-OHT,calcite,carbonate,Paleosol Carbonate,Mulch et al 2015,NA,Central,40.504966,-115.870316,2.4,38.2,NaN,NaN,10.9,-6.1,NaN,NaN,NaN,NaN,-3.0226682651204406
NV_IWFM,pre-OHT,calcite,carbonate,Paleosol Carbonate,Mulch et al 2015,NA,Central,40.539416,-115.85375,7.4,37.8,NaN,NaN,17.225,0.25000000000000017,NaN,NaN,2.2425803590209803,3.7036018504513506,3.3023317348795604
RCMU,post-OHT,calcite,carbonate,Fluvial Cement,Chamberlain et al 2012,NA,Central,45.8604,-111.1607,NaN,9.8,NaN,NaN,14.36,-8.29,NaN,NaN,NaN,NaN,0.43733173487955845
